"";"est";"L95.";"U95.";"se";"Model"
"rate";0,0168418511056;0,0134103358359442;0,0211514425986953;0,00195782542317134;"Exponential"
"meanlog";3,73686707857258;3,52943723558975;3,9442969215554;0,105833497257606;"Lognormal"
"sdlog";0,98792351813778;0,839319281942861;1,1628386225448;0,0821675621353308;"Lognormal"
"shape";1,9483600525074;1,61052159223607;2,35706674937283;0,18930248617645;"Loglogistica"
"scale";44,2589140747152;36,9596418966115;52,9997417332285;4,06986803365426;"Loglogistica"
"shape1";1,5092710526922;1,25322490860811;1,81762993605398;0,143157476411636;"Weibull"
"scale1";0,00214440662151221;0,000661839440094393;0,00694802920437859;0,00128622469010052;"Weibull"
"shape2";0,0185790777307951;0,00968200924327253;0,0274761462183176;0,00453940406951427;"Gompertz"
"rate1";0,00869418704446092;0,00563976211209858;0,013402850485824;0,00191991032781903;"Gompertz"
"mu";4,17687376485609;3,90386221795488;4,44988531175731;0,139294165124817;"Gama generalizada"
"sigma";0,569056448748571;0,375409795515576;0,862591348788869;0,120770345608876;"Gama generalizada"
"Q";1,39577894712228;0,436326167489843;2,35523172675471;0,489525719452232;"Gama generalizada"
