Tempo;Sobrevida
0;100
0,19;99,66
1,4;98,54
2,36;97,42
3,19;95,89
4,17;95,61
5,16;95,06
6,14;94,96
8,05;93,93
9,1;93,54
10,09;93,31
11,07;92,97
12,06;92,84
13,06;92,75
14,03;91,18
15,01;90,03
16;89,76
16,99;89,72
17,97;89,37
18,96;89,06
19,91;88,68
21,91;87,74
22,9;87,07
23,89;86,81
25,86;86,47
24,87;86,42
26,84;86,23
27,83;85,53
28,73;85,14
29,8;83,86
30,79;83,86
31,77;83,51
32,76;83,28
33,74;83,26
35,72;82,82
36,7;82,73
37,69;81,65
38,67;81,57
39,66;81,57
40,65;80,91
41,63;80,71
43,6;80,52
42,62;80,5
44,59;80,35
45,57;79,85
46,56;79,85
47,55;79,85
48,53;79,56
49,52;79,47
50,5;78,3
51,49;77,19
53,46;77,06
54,45;77,06
55,43;76,19
56,42;76,16
57,4;76,05
58,39;76,04
60,05;75,79
